year,oil_price_stat,output_gap,cpi_stat,taux_directeur,taux_changes_stat,regime,prob_regime0,prob_regime1,prob_regime2
1974.0,1.258391689772029,-9.092180101254751,0.14610278971272805,11.5,-0.10777499999999973,0,0.9666323652451806,0.033023669348651113,0.0003439654061697136
1977.0,0.08388147769478271,-26.199811353319642,0.1392620609609594,7.0,-0.059350000000000014,0,0.9695568968603646,0.030018054682931256,0.00042504845670549783
1978.0,0.007158226187766292,-33.59943754564747,0.07206222729118972,12.5,0.17427499999999974,0,0.9535841160081059,0.04621954974101914,0.00019633425087624127
1979.0,0.8129886049299668,172.90161617657444,0.10770977886332833,17.0,0.20235000000000003,1,0.4320389616036602,0.5679610383963409,1.3924287317717068e-21
1983.0,-0.10951430972118859,812.15446384585,0.04817071711160992,9.06,-0.23357499999999987,1,1.0442959792765027e-25,0.9721335662264214,0.027866433773579523
1984.0,-0.026403041487481183,-38.676995048562866,0.041698634900456,9.5,-0.17910000000000004,0,0.9413037112704242,0.058696276033707626,1.2695869109235403e-08
1985.0,-0.0433152537756456,-39.65412136247832,0.04804969654408353,11.38,-0.04095000000000004,0,0.9680122823193743,0.03155125307001949,0.00043646461060705067
1986.0,-0.647056040344081,-24.802584324288127,0.032719540627836,10.88,0.17075000000000018,0,0.9700635627969038,0.029505919705658197,0.0004305174974386686
1987.0,0.2449437810814512,-44.353564332982096,0.03154661087818855,8.38,0.17209999999999992,0,0.9663365157787706,0.033234510536802236,0.0004289736844276076
1988.0,-0.21129310793361933,101.59730453644902,0.03690258222416043,12.88,0.14169999999999994,0,0.9067954401181445,0.09176226792185738,0.0014422919599983116
1989.0,0.19989530208142892,29.05157793972813,0.05105041800137711,14.88,-0.14179999999999993,0,0.9617792493339278,0.037749440622005186,0.00047131004406719066
1990.0,0.26370854407380984,20.585253881921624,0.06740331601936678,13.88,0.14622500000000005,0,0.9364407690127869,0.06355868137804978,5.496091631631152e-07
1993.0,-0.12964074899858957,-355.42602782214533,0.024756027359976507,5.38,-0.2646750000000002,1,0.0010954088904830566,0.9850999176892763,0.013804673420240556
1994.0,-0.07043813095299534,-115.13877199481216,0.019591724949223455,6.13,0.030774999999999997,0,0.8674533007913197,0.1325456236059524,1.0756027277747719e-06
1995.0,0.0730887786936143,-72.00327941020561,0.026217810384581597,6.38,0.04587500000000033,0,0.9176824792450468,0.082317520754953,1.3370797549756324e-22
1996.0,0.19441620863815912,-889.9217199025,0.02371953824940043,5.94,-0.017075000000000173,1,5.707512623031474e-29,0.9999999999684879,3.151178955860878e-11
1997.0,-0.07931006616440106,-531.1487348666421,0.018081600557043664,7.25,0.07679999999999998,1,9.137004755262464e-10,0.999999753774017,2.4531228196118306e-07
1998.0,-0.4064657217665486,-117.64608023477504,0.015453945245043954,6.25,0.019174999999999942,0,0.8648702072350847,0.13512976445374159,2.831117328426919e-08
